date
1970-01-01
1970-01-02
1970-01-03
1970-04-05
1970-05-01
1970-05-02
1970-05-03
1970-05-04
1970-05-05
1970-10-01
1970-10-02
1970-10-03
1970-10-04
1970-10-05
1970-10-06
1970-10-07
1971-01-01
1971-01-02
1971-01-03
1971-04-05
1971-05-01
1971-05-02
1971-05-03
1971-05-04
1971-05-05
1971-10-01
1971-10-02
1971-10-03
1971-10-04
1971-10-05
1971-10-06
1971-10-07
1972-01-01
1972-01-02
1972-01-03
1972-04-05
1972-05-01
1972-05-02
1972-05-03
1972-05-04
1972-05-05
1972-10-01
1972-10-02
1972-10-03
1972-10-04
1972-10-05
1972-10-06
1972-10-07
1973-01-01
1973-01-02
1973-01-03
1973-04-05
1973-05-01
1973-05-02
1973-05-03
1973-05-04
1973-05-05
1973-10-01
1973-10-02
1973-10-03
1973-10-04
1973-10-05
1973-10-06
1973-10-07
1974-01-01
1974-01-02
1974-01-03
1974-04-05
1974-05-01
1974-05-02
1974-05-03
1974-05-04
1974-05-05
1974-10-01
1974-10-02
1974-10-03
1974-10-04
1974-10-05
1974-10-06
1974-10-07
1975-01-01
1975-01-02
1975-01-03
1975-04-05
1975-05-01
1975-05-02
1975-05-03
1975-05-04
1975-05-05
1975-10-01
1975-10-02
1975-10-03
1975-10-04
1975-10-05
1975-10-06
1975-10-07
1976-01-01
1976-01-02
1976-01-03
1976-04-04
1976-05-01
1976-05-02
1976-05-03
1976-05-04
1976-05-05
1976-10-01
1976-10-02
1976-10-03
1976-10-04
1976-10-05
1976-10-06
1976-10-07
1977-01-01
1977-01-02
1977-01-03
1977-04-05
1977-05-01
1977-05-02
1977-05-03
1977-05-04
1977-05-05
1977-10-01
1977-10-02
1977-10-03
1977-10-04
1977-10-05
1977-10-06
1977-10-07
1978-01-01
1978-01-02
1978-01-03
1978-04-05
1978-05-01
1978-05-02
1978-05-03
1978-05-04
1978-05-05
1978-10-01
1978-10-02
1978-10-03
1978-10-04
1978-10-05
1978-10-06
1978-10-07
1979-01-01
1979-01-02
1979-01-03
1979-04-05
1979-05-01
1979-05-02
1979-05-03
1979-05-04
1979-05-05
1979-10-01
1979-10-02
1979-10-03
1979-10-04
1979-10-05
1979-10-06
1979-10-07
1980-01-01
1980-01-02
1980-01-03
1980-04-04
1980-05-01
1980-05-02
1980-05-03
1980-05-04
1980-05-05
1980-10-01
1980-10-02
1980-10-03
1980-10-04
1980-10-05
1980-10-06
1980-10-07
1981-01-01
1981-01-02
1981-01-03
1981-04-05
1981-05-01
