date,kind,amount,accrual_factor,reset_date,outstanding_start,outstanding,rate,rate_base,outstanding_undrawn,discount_factor,pv,IRR,Path_Rank
2025-01-01,notional,-25000000.0,0.0,,0.0,25000000.0,0.0,0.0,75000000.0,0.99975,-24993750.0,0.0967374120517821,Top_1
2025-04-01,float_reset,333124.11556782015,0.25,,25000000.0,25000000.0,0.060000000000000005,25000000.0,75000000.0,0.9922533333333334,330543.5140858881,0.0967374120517821,Top_1
2025-04-01,notional,5583451.257623986,0.0,,25000000.0,19416548.742376015,0.0,0.0,80583451.25762399,0.9922533333333334,5540198.121881593,0.0967374120517821,Top_1
2025-04-01,commitment_fee,97239.65703601499,0.25,,19416548.742376015,19416548.742376015,0.005,75000000.0,80583451.25762399,0.9922533333333334,96486.373826176,0.0967374120517821,Top_1
2025-04-01,facility_fee,25000.0,0.25,,19416548.742376015,19416548.742376015,0.001,100000000.0,80583451.25762399,0.9922533333333334,24806.333333333336,0.0967374120517821,Top_1
2025-07-01,float_reset,267625.083465864,0.25277777777777777,,19416548.742376015,19416548.742376015,0.060000000000000005,19416548.742376015,80583451.25762399,0.9847733333333333,263550.04552829044,0.0967374120517821,Top_1
2025-07-01,notional,3541877.6870556804,0.0,,19416548.742376015,15874671.055320334,0.0,0.0,84125328.94467966,0.9847733333333333,3487946.696140779,0.0967374120517821,Top_1
2025-07-01,commitment_fee,104086.79860006688,0.25277777777777777,,15874671.055320334,15874671.055320334,0.005,80583451.25762399,84125328.94467966,0.9847733333333333,102501.90361338318,0.0967374120517821,Top_1
2025-07-01,facility_fee,25277.777777777777,0.25277777777777777,,15874671.055320334,15874671.055320334,0.001,100000000.0,84125328.94467966,0.9847733333333333,24892.88148148148,0.0967374120517821,Top_1
2025-10-01,float_reset,201837.33995385276,0.25555555555555554,,15874671.055320334,15874671.055320334,0.060000000000000005,15874671.055320332,84125328.94467966,0.97726,197247.55884330216,0.0967374120517821,Top_1
