Date,Days_From_Start,Cashflow_Type,Amount,Currency,Accrual_Factor,IRR,Path_Rank,MC_Utilization,MC_Credit_Spread
2025-01-01,0,notional,-25000000.0,USD,0.0,0.09324388012001034,Top_2,0.25,0.015
2025-04-01,90,float_reset,328937.70945377724,USD,0.25,0.09324388012001034,Top_2,0.18858361260503634,0.0013443760412059664
2025-04-01,90,notional,6141638.739496366,USD,0.0,0.09324388012001034,Top_2,0.18858361260503634,0.0013443760412059664
2025-04-01,90,commitment_fee,97588.52421218522,USD,0.25,0.09324388012001034,Top_2,0.18858361260503634,0.0013443760412059664
2025-04-01,90,facility_fee,25000.0,USD,0.25,0.09324388012001034,Top_2,0.18858361260503634,0.0013443760412059664
2025-07-01,181,float_reset,233186.1355899252,USD,0.25277777777777777,0.09324388012001034,Top_2,0.11891458817288698,0.0
2025-07-01,181,notional,6966902.443214935,USD,0.0,0.09324388012001034,Top_2,0.11891458817288698,0.0
2025-07-01,181,commitment_fee,106956.71092306178,USD,0.25277777777777777,0.09324388012001034,Top_2,0.11891458817288698,0.0
2025-07-01,181,facility_fee,25277.777777777777,USD,0.25277777777777777,0.09324388012001034,Top_2,0.11891458817288698,0.0
2025-10-01,273,float_reset,218288.8461769993,USD,0.25555555555555554,0.09324388012001034,Top_2,0.16580999379711214,0.016372527927402555
2025-10-01,273,notional,-4689540.562422516,USD,0.0,0.09324388012001034,Top_2,0.16580999379711214,0.016372527927402555
2025-10-01,273,commitment_fee,109587.04059636116,USD,0.25555555555555554,0.09324388012001034,Top_2,0.16580999379711214,0.016372527927402555
2025-10-01,273,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09324388012001034,Top_2,0.16580999379711214,0.016372527927402555
2026-01-01,365,float_reset,202266.62422333378,USD,0.25555555555555554,0.09324388012001034,Top_2,0.09801603779854062,0.0007773065853529518
2026-01-01,365,notional,6779395.599857152,USD,0.0,0.09324388012001034,Top_2,0.09801603779854062,0.0007773065853529518
2026-01-01,365,commitment_fee,110922.22575916663,USD,0.25555555555555554,0.09324388012001034,Top_2,0.09801603779854062,0.0007773065853529518
2026-01-01,365,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09324388012001034,Top_2,0.09801603779854062,0.0007773065853529518
2026-04-01,455,float_reset,185151.06695763,USD,0.25,0.09324388012001034,Top_2,0.14885205147829939,0.0
2026-04-01,455,notional,-5083601.367975877,USD,0.0,0.09324388012001034,Top_2,0.14885205147829939,0.0
2026-04-01,455,commitment_fee,109570.7444201975,USD,0.25,0.09324388012001034,Top_2,0.14885205147829939,0.0
2026-04-01,455,facility_fee,25000.0,USD,0.25,0.09324388012001034,Top_2,0.14885205147829939,0.0
2026-07-01,546,float_reset,266241.20661796274,USD,0.25277777777777777,0.09324388012001034,Top_2,0.2022352539519812,0.0
2026-07-01,546,notional,-5338320.247368181,USD,0.0,0.09324388012001034,Top_2,0.2022352539519812,0.0
2026-07-01,546,commitment_fee,104202.12167072532,USD,0.25277777777777777,0.09324388012001034,Top_2,0.2022352539519812,0.0
2026-07-01,546,facility_fee,25277.777777777777,USD,0.25277777777777777,0.09324388012001034,Top_2,0.2022352539519812,0.0
2026-10-01,638,float_reset,295918.37319572247,USD,0.25555555555555554,0.09324388012001034,Top_2,0.18374523282504818,0.0
2026-10-01,638,notional,1849002.1126933014,USD,0.0,0.09324388012001034,Top_2,0.18374523282504818,0.0
2026-10-01,638,commitment_fee,103117.9133448009,USD,0.25555555555555554,0.09324388012001034,Top_2,0.18374523282504818,0.0
2026-10-01,638,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09324388012001034,Top_2,0.18374523282504818,0.0
2027-01-01,730,float_reset,288191.58259388,USD,0.25555555555555554,0.09324388012001034,Top_2,0.19215683142783885,0.0
2027-01-01,730,notional,-841159.8602790671,USD,0.0,0.09324388012001034,Top_2,0.19215683142783885,0.0
2027-01-01,730,notional,19215683.142783884,USD,0.0,0.09324388012001034,Top_2,0.19215683142783885,0.0
2027-01-01,730,commitment_fee,103761.8125616211,USD,0.25555555555555554,0.09324388012001034,Top_2,0.19215683142783885,0.0
2027-01-01,730,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09324388012001034,Top_2,0.19215683142783885,0.0
