Date,Days_From_Start,Cashflow_Type,Amount,Currency,Accrual_Factor,IRR,Path_Rank,MC_Utilization,MC_Credit_Spread
2025-01-01,0,notional,-25000000.0,USD,0.0,0.09396925809480561,Top_3,0.25,0.015
2025-04-01,90,float_reset,334949.33990658657,USD,0.25,0.09396925809480561,Top_3,0.19659911987544873,0.01286118182898749
2025-04-01,90,notional,5340088.012455127,USD,0.0,0.09396925809480561,Top_3,0.19659911987544873,0.01286118182898749
2025-04-01,90,commitment_fee,97087.55500778447,USD,0.25,0.09396925809480561,Top_3,0.19659911987544873,0.01286118182898749
2025-04-01,90,facility_fee,25000.0,USD,0.25,0.09396925809480561,Top_3,0.19659911987544873,0.01286118182898749
2025-07-01,181,float_reset,234219.66403291965,USD,0.25277777777777777,0.09396925809480561,Top_3,0.11226197555257711,0.0
2025-07-01,181,notional,8433714.432287162,USD,0.0,0.09396925809480561,Top_3,0.11226197555257711,0.0
2025-07-01,181,commitment_fee,106870.58355281226,USD,0.25277777777777777,0.09396925809480561,Top_3,0.11226197555257711,0.0
2025-07-01,181,facility_fee,25277.777777777777,USD,0.25277777777777777,0.09396925809480561,Top_3,0.11226197555257711,0.0
2025-10-01,273,float_reset,167709.47704580886,USD,0.25555555555555554,0.09396925809480561,Top_3,0.10648951624630401,0.0
2025-10-01,273,notional,577245.9306273098,USD,0.0,0.09396925809480561,Top_3,0.10648951624630401,0.0
2025-10-01,273,commitment_fee,113801.98802396037,USD,0.25555555555555554,0.09396925809480561,Top_3,0.10648951624630401,0.0
2025-10-01,273,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09396925809480561,Top_3,0.10648951624630401,0.0
2026-01-01,365,float_reset,180117.8397444679,USD,0.25555555555555554,0.09396925809480561,Top_3,0.12844679646387153,0.0
2026-01-01,365,notional,-2195728.0217567515,USD,0.0,0.09396925809480561,Top_3,0.12844679646387153,0.0
2026-01-01,365,commitment_fee,112767.95779907209,USD,0.25555555555555554,0.09396925809480561,Top_3,0.12844679646387153,0.0
2026-01-01,365,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09396925809480561,Top_3,0.12844679646387153,0.0
2026-04-01,455,float_reset,270862.525311406,USD,0.25,0.09396925809480561,Top_3,0.2327032372846698,0.0
2026-04-01,455,notional,-10425644.082079826,USD,0.0,0.09396925809480561,Top_3,0.2327032372846698,0.0
2026-04-01,455,commitment_fee,102428.12289071617,USD,0.25,0.09396925809480561,Top_3,0.2327032372846698,0.0
2026-04-01,455,facility_fee,25000.0,USD,0.25,0.09396925809480561,Top_3,0.2327032372846698,0.0
2026-07-01,546,float_reset,283566.5964099695,USD,0.25277777777777777,0.09396925809480561,Top_3,0.14123073600320207,0.0
2026-07-01,546,notional,9147250.128146771,USD,0.0,0.09396925809480561,Top_3,0.14123073600320207,0.0
2026-07-01,546,commitment_fee,102758.33918805807,USD,0.25277777777777777,0.09396925809480561,Top_3,0.14123073600320207,0.0
2026-07-01,546,facility_fee,25277.777777777777,USD,0.25277777777777777,0.09396925809480561,Top_3,0.14123073600320207,0.0
2026-10-01,638,float_reset,298107.30364245886,USD,0.25555555555555554,0.09396925809480561,Top_3,0.24760487744348345,0.0
2026-10-01,638,notional,-10637414.144028137,USD,0.0,0.09396925809480561,Top_3,0.24760487744348345,0.0
2026-10-01,638,commitment_fee,102935.50247423955,USD,0.25555555555555554,0.09396925809480561,Top_3,0.24760487744348345,0.0
2026-10-01,638,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09396925809480561,Top_3,0.24760487744348345,0.0
2027-01-01,730,float_reset,417971.26565868227,USD,0.25555555555555554,0.09396925809480561,Top_3,0.2975750342852326,0.0
2027-01-01,730,notional,-4997015.684174913,USD,0.0,0.09396925809480561,Top_3,0.2975750342852326,0.0
2027-01-01,730,notional,29757503.428523257,USD,0.0,0.09396925809480561,Top_3,0.2975750342852326,0.0
2027-01-01,730,commitment_fee,92946.83897288756,USD,0.25555555555555554,0.09396925809480561,Top_3,0.2975750342852326,0.0
2027-01-01,730,facility_fee,25555.55555555555,USD,0.25555555555555554,0.09396925809480561,Top_3,0.2975750342852326,0.0
