start_date,end_date,pay_date,reset_date,kind,amount,accrual_factor,rate,notional,yr_fraq,discount_factor,pv,undrawn_notional,IRR,Path_Rank
2025-01-01,2027-01-01,2025-01-01,,notional,-25000000.0,0.0,0.0,NaN,0.0,0.99975,-24993750.0,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-04-01,,float_reset,375000.00000000006,0.25,0.060000000000000005,25000000.0,0.25,0.9922533333333334,372095.0000000001,75000000.0,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-04-01,,commitment_fee,93750.0,0.25,0.005,25000000.0,0.25,0.9922533333333334,93023.75000000001,75000000.0,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-04-01,,facility_fee,25000.0,0.25,0.001,25000000.0,0.25,0.9922533333333334,24806.333333333336,75000000.0,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-04-01,,notional,-9674473.526786437,0.0,0.0,NaN,0.25,0.9922533333333334,-9599528.605198933,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-07-01,,float_reset,525896.1818229277,0.25277777777777777,0.060000000000000005,34674473.52678644,0.5027777777777778,0.9847733333333333,517888.5359610372,65325526.47321356,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-07-01,,commitment_fee,82564.21,0.25277777777777777,0.005,34674473.52678644,0.5027777777777778,0.9847733333333333,81307.03229573334,65325526.47321356,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-07-01,,facility_fee,25277.78,0.25277777777777777,0.001,34674473.52678644,0.5027777777777778,0.9847733333333333,24892.883669866664,65325526.47321356,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-07-01,,notional,-3647694.4644311005,0.0,0.0,NaN,0.5027777777777778,0.9847733333333333,-3592152.236719363,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-10-01,,float_reset,587606.5758653355,0.25555555555555554,0.060000000000000005,38322167.99121754,0.7583333333333333,0.97726,574244.4023301578,61677832.00878246,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-10-01,,commitment_fee,78810.56,0.25555555555555554,0.005,38322167.99121754,0.7583333333333333,0.97726,77018.4078656,61677832.00878246,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-10-01,,facility_fee,25555.56,0.25555555555555554,0.001,38322167.99121754,0.7583333333333333,0.97726,24974.426565600003,61677832.00878246,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2025-10-01,,notional,-313055.3746186926,0.0,0.0,NaN,0.7583333333333333,0.97726,-305936.4953998636,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-01-01,,float_reset,592406.7582761555,0.25555555555555554,0.060000000000000005,38635223.36583623,1.0138888888888888,0.9697644444444445,574495.0108248102,61364776.63416377,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-01-01,,commitment_fee,78410.55,0.25555555555555554,0.005,38635223.36583623,1.0138888888888888,0.9697644444444445,76039.76345933335,61364776.63416377,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-01-01,,facility_fee,25555.56,0.25555555555555554,0.001,38635223.36583623,1.0138888888888888,0.9697644444444445,24782.87344586667,61364776.63416377,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-01-01,,notional,4257945.422891019,0.0,0.0,NaN,1.0138888888888888,0.9697644444444445,4129204.0775046744,NaN,0.07597480260907016,Bottom_1
2025-01-01,2027-01-01,2026-04-01,,float_reset,515659.1691441783,0.25,0.060000000000000005,34377277.94294521,1.2638888888888888,0.9626144444444444,496380.964628407,65622722.05705479,0.07597480260907016,Bottom_1
