date,kind,amount,accrual_factor,reset_date,outstanding_start,outstanding,rate,rate_base,outstanding_undrawn,discount_factor,pv,IRR,Path_Rank
2025-01-01,notional,-25000000.0,0.0,,0.0,25000000.0,0.0,0.0,75000000.0,0.99975,-24993750.0,0.07617937378319106,Bottom_1
2025-04-01,float_reset,447558.5514508983,0.25,,25000000.0,25000000.0,0.060000000000000005,25000000.0,75000000.0,0.9922533333333334,444091.46453899203,0.07617937378319106,Bottom_1
2025-04-01,notional,-9674473.526786437,0.0,,25000000.0,34674473.52678644,0.0,0.0,65325526.47321356,0.9922533333333334,-9599528.605198933,0.07617937378319106,Bottom_1
2025-04-01,commitment_fee,87703.45404575848,0.25,,34674473.52678644,34674473.52678644,0.005,75000000.0,65325526.47321356,0.9922533333333334,87024.04462175068,0.07617937378319106,Bottom_1
2025-04-01,facility_fee,25000.0,0.25,,34674473.52678644,34674473.52678644,0.001,100000000.0,65325526.47321356,0.9922533333333334,24806.333333333336,0.07617937378319106,Bottom_1
2025-07-01,float_reset,553557.8648448635,0.25277777777777777,,34674473.52678644,34674473.52678644,0.060000000000000005,34674473.52678644,65325526.47321356,0.9847733333333333,545129.023756159,0.07617937378319106,Bottom_1
2025-07-01,notional,-3647694.4644311005,0.0,,34674473.52678644,38322167.99121754,0.0,0.0,61677832.00878246,0.9847733333333333,-3592152.236719363,0.07617937378319106,Bottom_1
2025-07-01,commitment_fee,80259.0668184836,0.25277777777777777,,38322167.99121754,38322167.99121754,0.005,65325526.47321357,61677832.00878246,0.9847733333333333,79036.98876106081,0.07617937378319106,Bottom_1
2025-07-01,facility_fee,25277.777777777777,0.25277777777777777,,38322167.99121754,38322167.99121754,0.001,100000000.0,61677832.00878246,0.9847733333333333,24892.88148148148,0.07617937378319106,Bottom_1
2025-10-01,float_reset,590006.6670707456,0.25555555555555554,,38322167.99121754,38322167.99121754,0.060000000000000005,38322167.99121754,61677832.00878246,0.97726,576589.9154615569,0.07617937378319106,Bottom_1
2025-10-01,notional,-313055.3746186926,0.0,,38322167.99121754,38635223.36583623,0.0,0.0,61364776.63416377,0.97726,-305936.4953998636,0.07617937378319106,Bottom_1
2025-10-01,commitment_fee,78610.5555218823,0.25555555555555554,,38635223.36583623,38635223.36583623,0.005,61677832.00878247,61364776.63416377,0.97726,76822.9514893147,0.07617937378319106,Bottom_1
2025-10-01,facility_fee,25555.55555555555,0.25555555555555554,,38635223.36583623,38635223.36583623,0.001,100000000.0,61364776.63416377,0.97726,24974.42222222222,0.07617937378319106,Bottom_1
2026-01-01,float_reset,559762.5100339911,0.25555555555555554,,38635223.36583623,38635223.36583623,0.060000000000000005,38635223.36583623,61364776.63416377,0.9697644444444445,542837.7795639412,0.07617937378319106,Bottom_1
2026-01-01,notional,4257945.422891019,0.0,,38635223.36583623,34377277.94294521,0.0,0.0,65622722.05705479,0.9697644444444445,4129204.0775046744,0.07617937378319106,Bottom_1
