start_date,end_date,kind,amount,accrual_factor,reset_date,outstanding,rate,outstanding_undrawn,discount_factor,pv,IRR,Path_Rank
2025-01-01,2025-01-01,notional,-25000000.0,0.0,,25000000.0,0.0,75000000.0,0.99975,-24993750.0,0.09709794325531745,Top_1
2025-01-01,2025-04-01,float_reset,375000.00000000006,0.25,,25000000.0,0.060000000000000005,75000000.0,0.9922533333333334,372095.0000000001,0.09709794325531745,Top_1
2025-04-01,2025-04-01,commitment_fee,93750.0,0.25,,25000000.0,0.005,75000000.0,0.9922533333333334,93023.75000000001,0.09709794325531745,Top_1
2025-04-01,2025-04-01,facility_fee,25000.0,0.25,,25000000.0,0.001,75000000.0,0.9922533333333334,24806.333333333336,0.09709794325531745,Top_1
2025-04-01,2025-04-01,notional,5583451.257623986,0.0,,19416548.742376015,0.0,80583451.25762399,0.9922533333333334,5540198.121881593,0.09709794325531745,Top_1
2025-04-01,2025-07-01,float_reset,294484.32259270287,0.25277777777777777,,19416548.742376015,0.060000000000000005,80583451.25762399,0.9847733333333333,290000.3079740246,0.09709794325531745,Top_1
2025-07-01,2025-07-01,commitment_fee,101848.5286728303,0.25277777777777777,,19416548.742376015,0.005,80583451.25762399,0.9847733333333333,100297.71507623867,0.09709794325531745,Top_1
2025-07-01,2025-07-01,facility_fee,25277.777777777777,0.25277777777777777,,19416548.742376015,0.001,80583451.25762399,0.9847733333333333,24892.88148148148,0.09709794325531745,Top_1
2025-07-01,2025-07-01,notional,3541877.6870556804,0.0,,15874671.055320334,0.0,84125328.94467966,0.9847733333333333,3487946.696140779,0.09709794325531745,Top_1
2025-07-01,2025-10-01,float_reset,243411.62284824508,0.25555555555555554,,15874671.055320334,0.060000000000000005,84125328.94467966,0.97726,237876.44254467599,0.09709794325531745,Top_1
2025-10-01,2025-10-01,commitment_fee,107493.47587375734,0.25555555555555554,,15874671.055320334,0.005,84125328.94467966,0.97726,105049.0742323881,0.09709794325531745,Top_1
2025-10-01,2025-10-01,facility_fee,25555.55555555555,0.25555555555555554,,15874671.055320334,0.001,84125328.94467966,0.97726,24974.42222222222,0.09709794325531745,Top_1
2025-10-01,2025-10-01,notional,5422732.551442474,0.0,,10451938.50387786,0.0,89548061.49612214,0.97726,5299419.613222673,0.09709794325531745,Top_1
2025-10-01,2026-01-01,float_reset,160263.0570594605,0.25555555555555554,,10451938.50387786,0.060000000000000005,89548061.49612214,0.9697644444444445,155417.41449423603,0.09709794325531745,Top_1
2026-01-01,2026-01-01,commitment_fee,114422.52302282273,0.25555555555555554,,10451938.50387786,0.005,89548061.49612214,0.9697644444444445,110962.89447115935,0.09709794325531745,Top_1
