Date,Days_From_Start,Cashflow_Type,Amount,Currency,Accrual_Factor,IRR,Path_Rank,MC_Utilization,MC_Credit_Spread
2025-01-01,0,notional,-25000000.0,USD,0.0,0.0766111700378214,Bottom_4,0.25,0.015
2025-04-01,90,float_reset,414449.2584102011,USD,0.25,0.0766111700378214,Bottom_4,0.30259901121360155,0.0455205118114478
2025-04-01,90,notional,-5259901.121360156,USD,0.0,0.0766111700378214,Bottom_4,0.30259901121360155,0.0455205118114478
2025-04-01,90,commitment_fee,90462.56179914992,USD,0.25,0.0766111700378214,Bottom_4,0.30259901121360155,0.0455205118114478
2025-04-01,90,facility_fee,25000.0,USD,0.25,0.0766111700378214,Bottom_4,0.30259901121360155,0.0455205118114478
2025-07-01,181,float_reset,507889.9515827359,USD,0.25277777777777777,0.0766111700378214,Bottom_4,0.3671459798845118,0.025008036224618654
2025-07-01,181,notional,-6454696.867091025,USD,0.0,0.0766111700378214,Bottom_4,0.3671459798845118,0.025008036224618654
2025-07-01,181,commitment_fee,84064.72625699421,USD,0.25277777777777777,0.0766111700378214,Bottom_4,0.3671459798845118,0.025008036224618654
2025-07-01,181,facility_fee,25277.777777777777,USD,0.25277777777777777,0.0766111700378214,Bottom_4,0.3671459798845118,0.025008036224618654
2025-10-01,273,float_reset,566740.7007692353,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.3720810211188386,0.020712339617131332
2025-10-01,273,notional,-493504.12343268096,USD,0.0,0.0766111700378214,Bottom_4,0.3720810211188386,0.020712339617131332
2025-10-01,273,commitment_fee,80549.38604700816,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.3720810211188386,0.020712339617131332
2025-10-01,273,facility_fee,25555.55555555555,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.3720810211188386,0.020712339617131332
2026-01-01,365,float_reset,533277.6446112258,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.3234985153305865,0.00044000232205265944
2026-01-01,365,notional,4858250.578825213,USD,0.0,0.0766111700378214,Bottom_4,0.3234985153305865,0.00044000232205265944
2026-01-01,365,commitment_fee,83337.9740601756,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.3234985153305865,0.00044000232205265944
2026-01-01,365,facility_fee,25555.55555555555,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.3234985153305865,0.00044000232205265944
2026-04-01,455,float_reset,501630.75969164853,USD,0.25,0.0766111700378214,Bottom_4,0.34534249759161145,0.0
2026-04-01,455,notional,-2184398.2261024965,USD,0.0,0.0766111700378214,Bottom_4,0.34534249759161145,0.0
2026-04-01,455,commitment_fee,83197.43669236262,USD,0.25,0.0766111700378214,Bottom_4,0.34534249759161145,0.0
2026-04-01,455,facility_fee,25000.0,USD,0.25,0.0766111700378214,Bottom_4,0.34534249759161145,0.0
2026-07-01,546,float_reset,536740.1768536622,USD,0.25277777777777777,0.0766111700378214,Bottom_4,0.36244674661101994,0.0
2026-07-01,546,notional,-1710424.9019408491,USD,0.0,0.0766111700378214,Bottom_4,0.36244674661101994,0.0
2026-07-01,546,commitment_fee,81660.54081775037,USD,0.25277777777777777,0.0766111700378214,Bottom_4,0.36244674661101994,0.0
2026-07-01,546,facility_fee,25277.777777777777,USD,0.25277777777777777,0.0766111700378214,Bottom_4,0.36244674661101994,0.0
2026-10-01,638,float_reset,490176.18759647285,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.27691349808003163,0.0
2026-10-01,638,notional,8553324.853098832,USD,0.0,0.0766111700378214,Bottom_4,0.27691349808003163,0.0
2026-10-01,638,commitment_fee,86929.76214473836,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.27691349808003163,0.0
2026-10-01,638,facility_fee,25555.55555555555,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.27691349808003163,0.0
2027-01-01,730,float_reset,397652.715116844,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.2417639564201996,0.0
2027-01-01,730,notional,3514954.165983203,USD,0.0,0.0766111700378214,Bottom_4,0.2417639564201996,0.0
2027-01-01,730,notional,24176395.64201996,USD,0.0,0.0766111700378214,Bottom_4,0.2417639564201996,0.0
2027-01-01,730,commitment_fee,94640.05151804077,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.2417639564201996,0.0
2027-01-01,730,facility_fee,25555.55555555555,USD,0.25555555555555554,0.0766111700378214,Bottom_4,0.2417639564201996,0.0
